file,is_intact,details
74_set1_day13_20200329-135710_002_plantC_day12.txt,n,"Edge assignment failed: (66, [18, 0]); 17; 4; ['66.0 216.0 0', '[18,4] [17,5]']"
104_20200329-140231_032_plantA_day2.txt,y,Done!
10_20200205-215035_012_plantB_day6.txt,y,Done!
33_20200213-171421_009_plantE_day11.txt,n,"Edge assignment failed: (48, [20, 0]); 19; 3; ['35.0 397.0 0', '[20,3]']"
31_20200205-215844_029_plantD_day2.txt,y,Done!
45_20200213-171245_005_plantB_day2.txt,y,Done!
94_set1_day13_20200329-140102_022_plantA_day3.txt,y,Done!
50_20200219-145220_001_plantE_day8.txt,y,Done!
90_set1_day13_20200329-140102_018_plantA_day6.txt,n,"Edge assignment failed: (34, [30, 0]); 30; 2; ['-16.0 468.0 0', '[31,1]']"
49_20200219-145348_007_plantE_day8.txt,n,"Edge assignment failed: (44, [24, 0]); 23; 2; ['4.0 353.0 0', '[24,2] [23,3]']"
39_20200213-171421_011_plantA_day4.txt,y,Done!
37_20200213-171245_002_plantC_day2.txt,y,Done!
53_20200219-145348_008_plantB_day13.txt,n,"Edge assignment failed: (38, [18, 0]); 17; 3; ['-78.0 289.0 0', '[18,3] [17,4]']"
61_20200219-145348_010_plantD_day5.txt,y,Done!
74_set1_day13_20200329-135710_002_plantE_day10.txt,n,"Edge assignment failed: (34, [12, 0]); 11; 4; ['-44.0 194.0 0', '[12,4] [11,5]']"
56_20200219-145348_009_plantD_day7.txt,y,Done!
77_set1_day13_20200329-135710_005_plantE_day11.txt,n,"Edge assignment failed: (35, [18, 0]); 17; 2; ['17.0 290.0 0', '[18,2]']"
50_20200219-145220_001_plantC_day3.txt,y,Done!
91_set1_day13_20200329-140102_019_plantB_day2.txt,y,Done!
73_set1_day13_20200329-135710_001_plantA_day12.txt,n,"Edge assignment failed: (13, [8, 0]); 7; 2; ['30.0 114.0 0', '[8,2] [7,3]']"
95_set1_day13_20200329-140102_023_plantC_day4.txt,y,Done!
7_20200205-215035_011_plantC_day4.txt,y,Done!
79_set1_day13_20200329-135710_007_plantD_day6.txt,y,Done!
